Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-07-23,370.499,374.923,367.609,372.805,341411.21041188
2020-07-24,367.609,374.052,364.817,373.29,446716.1897897
2020-07-27,373.29,385.989,368.569,384.059,522830.18030478
2020-07-28,382.525,382.911,375.398,380.209,298653.7314495
2020-07-29,378.576,388.295,376.368,385.791,596129.43732138
2020-07-30,390.602,395.224,382.812,383.386,654260.85729107
2020-07-31,384.445,389.453,383,386.751,246846.87418637
2020-08-03,384.831,402.915,384.257,401.182,707894.36141898
2020-08-04,403.112,406.963,398.49,401.667,738079.49879661
2020-08-05,400.994,403.588,392.918,394.452,355841.51858086
2020-08-06,395.897,401.766,392.146,396.857,245249.56849322
2020-08-07,396.372,415.237,394.64,410.803,353081.34201308
2020-08-10,410.803,418.504,408.111,409.269,282157.3321088
2020-08-11,411.001,413.307,396.57,400.806,233188.44555537
2020-08-12,400.806,404.459,394.452,402.152,238867.41791537
2020-08-13,402.152,403.974,395.125,395.125,320992.77394228
2020-08-14,394.264,400.133,391.562,395.125,176104.72071774
2020-08-17,395.125,399.262,391.948,392.532,334302.64440495
2020-08-18,392.532,394.066,386.177,390.889,254691.95875769
2020-08-19,390.602,399.262,388.681,399.262,197395.05776493
2020-08-20,398.302,398.302,389.255,393.106,144481.90718492
2020-08-21,397.817,399.648,393.492,393.68,185926.98887001
2020-08-24,398.49,403.211,396.184,398.876,194398.4678308
2020-08-25,398.302,400.222,391.562,392.532,262257.18648081
2020-08-26,393.967,421.097,392.334,420.424,261685.34902204
2020-08-27,418.504,444.476,416.673,443.328,660436.90390852
2020-08-28,438.032,440.923,426.966,429.085,366808.47196421
2020-08-31,429.085,432.836,418.504,421.869,348871.36552773
2020-09-01,421.869,430.817,419.85,423.987,291017.78177918
2020-09-02,422.453,433.895,421.483,423.215,173959.82509058
2020-09-03,426.59,429.857,413.505,414.267,314361.07592217
2020-09-04,403.885,419.375,395.996,411.773,845902.17949468
2020-09-07,413.792,422.453,409.556,420.048,158484.85273012
2020-09-08,423.314,423.601,411.961,416.97,403465.677824
2020-09-09,416.584,417.831,410.427,415.614,436163.46495423
2020-09-10,414.94,416.871,411.575,412.733,479158.36759648
2020-09-11,413.693,416.584,410.902,413.881,440317.87419534
2020-09-14,416.584,418.019,401.479,401.479,633803.01859376
2020-09-15,401.38,401.38,385.316,387.721,467380.13244742
2020-09-16,390.216,397.243,386.276,389.928,357257.97815189
2020-09-17,386.751,390.799,381.753,388.681,341425.35480132
2020-09-18,389.641,395.699,386.85,386.85,714777.6275084
2020-09-21,386.751,393.68,370.687,370.687,437747.63657146
2020-09-22,376.457,392.433,375.398,385.702,580150.31850876
2020-09-23,385.702,393.878,385.702,391.562,334251.11841484
2020-09-24,388.681,393.878,383.198,387.335,555245.07964622
2020-09-25,389.255,394.452,384.93,394.452,291979.60026107
2020-09-28,398.302,413.307,397.629,413.307,327941.71041125
2020-09-29,413.594,418.217,408.398,415.039,324016.64234176
2020-09-30,408.883,414.079,402.538,402.538,445589.69020219
2020-10-01,401.093,401.093,362.699,368.094,1216806.4625152
2020-10-02,375.309,385.316,369.539,382.139,788000.10069662
2020-10-05,387.721,394.937,380.12,383.584,403843.53508474
2020-10-06,384.831,385.603,358.859,360.591,825018.99880065
2020-10-07,361.066,365.401,351.831,362.798,550321.82180771
2020-10-08,366.748,374.151,365.491,374.151,377457.17658517
2020-10-09,375.111,375.111,359.334,363.857,381932.86552927
2020-10-12,363.669,368.183,356.929,356.929,447781.06025179
2020-10-13,356.929,369.628,353.079,368.48,294220.47567371
2020-10-14,368.48,382.614,365.688,374.25,441167.54787525
2020-10-15,371.746,372.805,359.146,360.779,323731.73392591
2020-10-16,363.669,375.21,363.669,364.243,652568.58212598
2020-10-19,367.134,369.44,357.889,357.889,322601.19308427
2020-10-20,357.889,363.669,348.466,353.95,504793.0528287
2020-10-21,353.276,355.395,341.251,351.93,713302.56975256
2020-10-22,346.348,362.224,344.428,352.702,346342.55075864
2020-10-23,353.465,356.068,339.32,340.092,812832.5969849
2020-10-26,341.053,351.732,340.577,346.348,389681.97031511
2020-10-27,349.426,365.589,348.852,350.297,713277.31191427
2020-10-28,335.767,340.478,307.865,318.446,1630538.9464453
2020-10-29,323.256,342.983,321.336,340.577,794532.78799065
2020-10-30,338.36,338.647,320.663,322.682,605065.66050661
2020-11-02,330.571,335.569,328.452,329.7,481945.82262962
2020-11-03,334.322,352.603,329.997,351.158,608213.79747046
2020-11-04,351.158,372.231,346.16,366.748,784752.9530067
2020-11-05,373.191,381.179,355.969,357.028,794141.796654
2020-11-06,358.859,374.25,357.414,368.569,392973.57180041
2020-11-09,374.25,385.89,355.108,357.315,1011487.5157235
2020-11-10,360.779,364.342,340.092,351.831,840622.28097959
2020-11-12,356.929,364.055,353.276,358.275,461433.4270016
2020-11-13,358.374,358.374,349.327,349.624,297727.2739412
2020-11-16,355.969,357.8,346.734,346.734,320301.7194868
2020-11-17,346.348,356.929,345.576,355.583,305358.17204387
2020-11-18,356.929,364.431,355.969,360.294,321530.26074099
2020-11-19,359.819,359.819,351.643,354.049,351819.46041236
2020-11-20,354.138,361.838,354.049,358.087,307195.93235748
2020-11-23,363.184,374.25,357.889,358.473,338711.65265598
2020-11-24,360.779,362.699,351.643,357.028,289324.49630055
2020-11-25,358.087,359.334,349.327,350.198,360435.41420814
2020-11-26,355.009,363.184,344.428,345.289,515931.75951238
2020-11-27,345.388,350.198,339.231,348.941,397874.60274123
2020-11-30,352.118,376.368,352.118,374.725,1096451.8527736
2020-12-01,377.516,402.34,377.516,390.602,975462.76613436
2020-12-02,395.61,409.843,389.354,408.883,588110.57882266
2020-12-03,409.843,411.773,402.152,405.033,501464.06974273
2020-12-04,406.765,426.679,406.478,426.204,490101.07345508
2020-12-07,429.57,446.594,386.662,408.982,1483907.0920655
2020-12-08,384.831,394.838,370.4,380.021,1944940.4349087
2020-12-09,384.544,396.471,368.668,380.793,1469168.6382695
2020-12-10,376.655,385.89,344.715,348.268,2126947.4072769
2020-12-11,345.19,345.19,296.611,308.35,4122812.6957358
2020-12-14,254.951,286.703,229.454,284.872,5576352.793988
2020-12-15,292.276,304.787,282.853,288.623,2760403.8883294
2020-12-16,287.95,292.474,279.002,288.623,1164562.139493
2020-12-17,293.434,301.995,293.434,297.472,1115707.4183686
2020-12-18,250.14,262.265,233.304,261.107,5652207.1339256
2020-12-21,250.14,255.238,238.599,246.29,2818001.8627545
2020-12-22,252.644,265.442,252.06,257.544,1553379.2814252
2020-12-23,264.571,265.145,242.44,258.801,1505808.6687992
2020-12-28,254.951,263.611,247.349,263.611,1073192.4146537
2020-12-29,268.897,274.38,263.997,269.867,717594.38163395
2020-12-30,269.867,269.867,260.147,264.284,675762.34986633
2021-01-04,266.016,268.422,257.93,265.917,721981.16298729
2021-01-05,265.145,265.145,253.604,255.624,942905.41258499
2021-01-07,256.871,256.97,238.599,238.599,1583369.4282913
2021-01-08,240.707,243.796,225.316,230.8,1581254.84207
2021-01-11,230.899,247.25,230.899,236.669,827315.44145752
2021-01-12,236.669,243.311,233.789,239.074,682216.23270491
2021-01-13,239.074,243.885,237.728,240.42,680636.1023418
2021-01-14,243.796,266.591,241.767,254.951,1335802.200557
2021-01-15,254.951,257.069,241.578,246.488,790594.58584525
2021-01-18,247.25,248.408,239.846,243.885,499161.56520467
2021-01-19,245.617,247.25,233.591,238.787,782100.87998677
2021-01-20,237.629,246.003,229.939,243.113,770772.23435919
2021-01-21,245.33,250.625,242.063,243.598,937027.40845931
2021-01-22,242.44,247.25,240.42,240.618,540418.72857292
2021-01-25,242.44,266.115,240.806,265.244,1670450.3721897
2021-01-26,262.74,288.623,262.74,288.623,2785460.6742216
2021-01-27,296.324,331.917,296.324,303.826,6100655.0011081
2021-01-28,299.402,362.224,287.762,351.158,7127834.7066013
2021-01-29,340.577,344.428,286.406,293.622,3063338.3182114
2021-02-01,293.919,304.015,280.25,294.206,1048414.4752962
2021-02-02,293.919,294.305,271.688,272.559,1433555.0862876
2021-02-03,273.232,284.387,272.658,277.082,717235.7203303
2021-02-04,277.171,287.465,277.171,279.963,419236.67204915
2021-02-05,282.081,286.604,277.27,282.279,451486.89028497
2021-02-08,285.733,286.505,275.439,275.439,503712.0173501
